,Chr,Start,Stop,Samples,Sample_indices,Strand,Listing,Listing_subject,High,Low,UniqueIdentifier,pt87_lo_TPM,pt87_lo_Reads,pt214_hi_TPM,pt214_hi_Reads,pt214_lo_TPM,pt214_lo_Reads,pt221_lo_TPM,pt221_lo_Reads,pt226_lo_TPM,pt226_lo_Reads,pt221_hi_TPM,pt221_hi_Reads,pt226_hi_TPM,pt226_hi_Reads,pt212_lo_TPM,pt212_lo_Reads,pt87_hi_TPM,pt87_hi_Reads,pt212_hi_TPM,pt212_hi_Reads,Annotation,Distance to TSS,Nearest Ensembl,Gene Name,Gene Description,Gene Type,Annotations_short,CpG%,GC%,TRA,AIRE,Fezf2,Housekeeping,AIRE_dep_TRA,Fezf2_dep_TRA,other_TRA,Class
14493,chr14,69767193,69767202,"pt212_hi,pt87_hi","pt212_hi_11882,pt87_hi_12454",+,2,2,2,0,14493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.941212743492049,2.0,4.763067152982584,3.0,promoter-TSS (NM_006925),56,ENSG00000100650,SRSF5,serine and arginine rich splicing factor 5,protein-coding,promoter-TSS,0.063333,0.570715,False,False,False,False,False,False,False,High
14526,chr14,72477956,72477975,"pt212_hi,pt226_hi","pt212_hi_11889,pt226_hi_8973",+,2,2,2,0,14526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4170882979330592,3.0,0.0,0.0,0.0,0.0,3.8829340344373025,2.0,"intron (NM_001370288, intron 11 of 16)",-38854,ENSG00000273830,MIR7843,microRNA 7843,ncRNA,intron,0.015,0.455907,False,False,False,False,False,False,False,High
14563,chr14,73569049,73569086,"pt212_hi,pt221_hi,pt87_hi","pt212_hi_11897,pt221_hi_8314,pt87_hi_12466",+,3,3,3,0,14563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1305670119094686,4.0,0.0,0.0,0.0,0.0,6.264442785553641,3.0,6.2382120978789,3.0,promoter-TSS (NM_001364178),9,ENSG00000119673,ACOT2,acyl-CoA thioesterase 2,protein-coding,promoter-TSS,0.015,0.44426,False,True,False,False,False,False,False,High
14574,chr14,73764678,73764684,"pt212_hi,pt87_hi","pt212_hi_12192,pt87_hi_12799",-,2,2,2,0,14574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5929131953387152,3.0,3.195865357170237,2.0,"intron (NM_001043318, intron 1 of 11)",-4378,ENSG00000156030,ELMSAN1,ELM2 and Myb/SANT domain containing 1,protein-coding,intron,0.011667,0.585691,False,False,False,False,False,False,False,High
14689,chr14,75661246,75661268,"pt212_hi,pt87_hi","pt212_hi_11924,pt87_hi_12496",+,2,2,2,0,14689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33705168062855,2.0,2.476191940180362,2.0,promoter-TSS (NM_015072),11,ENSG00000119685,TTLL5,tubulin tyrosine ligase like 5,protein-coding,promoter-TSS,0.076667,0.635607,False,False,False,False,False,False,False,High
14694,chr14,75981897,75981912,"pt221_hi,pt87_hi","pt221_hi_8547,pt87_hi_12823",-,2,2,2,0,14694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7388504659030497,2.0,0.0,0.0,0.0,0.0,2.630689992041993,2.0,0.0,0.0,promoter-TSS (NM_001329938),90,ENSG00000119699,TGFB3,transforming growth factor beta 3,protein-coding,promoter-TSS,0.06,0.595674,False,False,False,False,False,False,False,High
14722,chr14,77616633,77616651,"pt212_hi,pt87_hi","pt212_hi_12218,pt87_hi_12826",-,2,2,2,0,14722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9337668960341,3.0,4.3079128686634816,2.0,"5' UTR (NM_004863, exon 1 of 12)",125,ENSG00000100596,SPTLC2,serine palmitoyltransferase long chain base subunit 2,protein-coding,5' UTR,0.071667,0.663894,False,False,False,False,False,False,False,High
14749,chr14,81324150,81324157,"pt212_hi,pt87_hi","pt212_hi_12224,pt87_hi_12830",-,2,2,2,0,14749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2909454205017,2.0,3.925338790604892,2.0,"exon (NM_001366849, exon 6 of 9)",-102764,ENSG00000165417,GTF2A1,general transcription factor IIA subunit 1,protein-coding,exon,0.015,0.507488,False,False,False,True,False,False,False,High
14754,chr14,82424573,82424631,"pt212_hi,pt214_hi,pt87_hi","pt212_hi_11941,pt212_hi_11942,pt212_hi_11943,pt214_hi_13521,pt87_hi_12512,pt87_hi_12513",+,3,3,3,0,14754,0.0,0.0,2.94304861139091,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.853053426132439,5.0,14.680928758934517,8.0,Intergenic,-218030,ENSG00000258743,LINC02301,long intergenic non-protein coding RNA 2301,ncRNA,Intergeni,0.006667,0.317804,False,False,False,False,False,False,False,High
14785,chr14,90331966,90331976,"pt214_hi,pt87_hi","pt214_hi_13859,pt87_hi_12836",-,2,2,2,0,14785,0.0,0.0,16.60859545156126,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34824273731152,2.0,0.0,0.0,promoter-TSS (NM_017970),-30,ENSG00000119720,NRDE2,"NRDE-2, necessary for RNA interference, domain containing",protein-coding,promoter-TSS,0.063333,0.557404,False,False,False,True,False,False,False,High
14812,chr14,91883348,91883369,"pt212_hi,pt214_hi,pt226_hi","pt212_hi_12236,pt214_hi_13867,pt226_hi_9254",-,3,3,3,0,14812,0.0,0.0,6.01342798773356,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3828195207504455,2.0,0.0,0.0,0.0,0.0,4.045996306775182,2.0,"intron (NM_006329, intron 7 of 10)",-15823,ENSG00000165929,TC2N,"tandem C2 domains, nuclear",protein-coding,intron,0.013333,0.452579,False,False,False,False,False,False,False,High
14814,chr14,92003550,92003574,"pt214_hi,pt87_hi","pt214_hi_13868,pt87_hi_12844",-,2,2,2,0,14814,0.0,0.0,2.2710346664040695,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.410711470304543,2.0,0.0,0.0,"exon (NM_001321851, exon 11 of 21)",36497,ENSG00000100815,TRIP11,thyroid hormone receptor interactor 11,protein-coding,exon,0.01,0.369384,False,False,False,False,False,False,False,High
14824,chr14,92121757,92121759,"pt212_hi,pt87_hi","pt212_hi_12238,pt87_hi_12849",-,2,2,2,0,14824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69500899530366,2.0,2.661609901161679,2.0,promoter-TSS (NM_017437),-52,ENSG00000183648,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1,protein-coding,promoter-TSS,0.086667,0.628952,False,False,False,False,False,False,False,High
14825,chr14,92121909,92121926,"pt214_hi,pt87_hi","pt214_hi_13873,pt87_hi_12850",-,2,2,2,0,14825,0.0,0.0,5.665717148072344,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.632822177252816,4.0,0.0,0.0,promoter-TSS (NM_017437),-51,ENSG00000165934,CPSF2,cleavage and polyadenylation specific factor 2,protein-coding,promoter-TSS,0.08,0.62396,False,False,False,True,False,False,False,High
14840,chr14,94081200,94081202,"pt212_hi,pt87_hi","pt212_hi_12241,pt87_hi_12854",-,2,2,2,0,14840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3791130130655422,2.0,3.4056338465022855,2.0,promoter-TSS (NM_020414),1,ENSG00000089737,DDX24,DEAD-box helicase 24,protein-coding,promoter-TSS,0.065,0.559068,False,False,False,False,False,False,False,High
14911,chr14,100334299,100334314,"pt212_hi,pt226_hi","pt212_hi_12250,pt226_hi_9266",-,2,2,2,0,14911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72235799129413,2.0,0.0,0.0,0.0,0.0,5.93276896888413,2.0,"3' UTR (NM_173701, exon 11 of 11)",10968,ENSG00000140107,SLC25A47,solute carrier family 25 member 47,protein-coding,3' UTR,0.008333,0.420965,True,False,False,False,False,False,True,High
14912,chr14,100334454,100334463,"pt212_hi,pt87_hi","pt212_hi_12251,pt87_hi_12868",-,2,2,2,0,14912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.885294994924136,3.0,3.3987612041811603,2.0,"3' UTR (NM_173701, exon 11 of 11)",11120,ENSG00000140107,SLC25A47,solute carrier family 25 member 47,protein-coding,3' UTR,0.016667,0.449251,True,False,False,False,False,False,True,High
14913,chr14,100334709,100334720,"pt212_hi,pt214_hi,pt226_hi","pt212_hi_12252,pt214_hi_13893,pt226_hi_9267",-,3,3,3,0,14913,0.0,0.0,7.075957821032969,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6837220822715513,4.0,0.0,0.0,0.0,0.0,4.063202680351752,2.0,"3' UTR (NM_173701, exon 11 of 11)",11376,ENSG00000140107,SLC25A47,solute carrier family 25 member 47,protein-coding,3' UTR,0.025,0.507488,True,False,False,False,False,False,True,High
15028,chr14,102082286,102082308,"pt214_hi,pt226_hi","pt214_hi_13909,pt226_hi_9282",-,2,2,2,0,15028,0.0,0.0,7.80611088485101,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.179448013418124,4.0,0.0,0.0,0.0,0.0,0.0,0.0,"exon (NM_005348, exon 10 of 11)",4747,ENSG00000080824,HSP90AA1,heat shock protein 90 alpha family class A member 1,protein-coding,exon,0.015,0.427621,False,False,False,False,False,False,False,High
15035,chr14,102083662,102083667,"pt214_hi,pt87_hi","pt214_hi_13912,pt87_hi_12887",-,2,2,2,0,15035,0.0,0.0,3.09599881046884,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55972056988131,2.0,0.0,0.0,"exon (NM_005348, exon 8 of 11)",3379,ENSG00000080824,HSP90AA1,heat shock protein 90 alpha family class A member 1,protein-coding,exon,0.013333,0.396007,False,False,False,False,False,False,False,High
15072,chr14,102370765,102370797,"pt212_hi,pt214_hi","pt212_hi_11983,pt214_hi_13564",+,2,2,2,0,15072,0.0,0.0,2.536026191996826,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.406896764409348,2.0,"intron (NM_014844, intron 1 of 19)",7840,ENSG00000196663,TECPR2,tectonin beta-propeller repeat containing 2,protein-coding,intron,0.021667,0.530782,False,False,False,False,False,False,False,High
15073,chr14,102435053,102435064,"pt212_hi,pt214_hi","pt212_hi_11984,pt214_hi_13565",+,2,2,2,0,15073,0.0,0.0,6.6250979753905295,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.435908530809369,3.0,"exon (NM_001172631, exon 9 of 17)",72118,ENSG00000196663,TECPR2,tectonin beta-propeller repeat containing 2,protein-coding,exon,0.023333,0.570715,False,False,False,False,False,False,False,High
15092,chr14,103057537,103057564,"pt212_hi,pt87_hi","pt212_hi_12297,pt87_hi_12908",-,2,2,2,0,15092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6974083297847633,2.0,3.492614456486152,2.0,promoter-TSS (NM_006035),-2,ENSG00000198752,CDC42BPB,CDC42 binding protein kinase beta,protein-coding,promoter-TSS,0.151667,0.795341,False,False,False,False,False,False,False,High
15104,chr14,103096685,103096702,"pt214_hi,pt221_hi,pt226_hi,pt87_hi","pt214_hi_13573,pt221_hi_8368,pt226_hi_9050,pt87_hi_12552",+,4,4,4,0,15104,0.0,0.0,5.982731708704288,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.835679721469392,5.0,3.486250444494533,3.0,0.0,0.0,2.6881498421510694,2.0,0.0,0.0,Intergenic,-3450,ENSG00000205436,EXOC3L4,exocyst complex component 3 like 4,protein-coding,Intergeni,0.02,0.47421,False,False,False,False,False,False,False,High
15115,chr14,103117995,103118015,"pt212_hi,pt214_hi","pt212_hi_12300,pt214_hi_13945",-,2,2,2,0,15115,0.0,0.0,3.8767024389057,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13585847179292,2.0,Intergenic,4904,ENSG00000259717,LINC00677,long intergenic non-protein coding RNA 677,ncRNA,Intergeni,0.013333,0.554077,True,False,False,False,False,False,True,High
15138,chr14,103136868,103136876,"pt221_hi,pt226_hi","pt221_hi_8370,pt226_hi_9055",+,2,2,2,0,15138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.919689054031284,8.0,2.9354759871138127,5.0,0.0,0.0,0.0,0.0,0.0,0.0,"3' UTR (NM_001371221, exon 13 of 13)",10566,ENSG00000185215,TNFAIP2,TNF alpha induced protein 2,protein-coding,3' UTR,0.013333,0.50416,False,False,False,False,False,False,False,High
15139,chr14,103136906,103136918,"pt212_hi,pt87_hi","pt212_hi_12002,pt87_hi_12561",+,2,2,2,0,15139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1100032334576,2.0,30.29365375325017,3.0,"3' UTR (NM_001371221, exon 13 of 13)",10606,ENSG00000185215,TNFAIP2,TNF alpha induced protein 2,protein-coding,3' UTR,0.018333,0.517471,False,False,False,False,False,False,False,High
15143,chr14,103137256,103137268,"pt226_hi,pt87_hi","pt226_hi_9058,pt87_hi_12564",+,2,2,2,0,15143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2508125375042765,4.0,0.0,0.0,22.05520649819516,4.0,0.0,0.0,"3' UTR (NM_001371221, exon 13 of 13)",10956,ENSG00000185215,TNFAIP2,TNF alpha induced protein 2,protein-coding,3' UTR,0.033333,0.532446,False,False,False,False,False,False,False,High
15144,chr14,103137297,103137318,"pt212_hi,pt214_hi","pt212_hi_12003,pt214_hi_13585",+,2,2,2,0,15144,0.0,0.0,2.36465942342216,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0257800785079,3.0,"3' UTR (NM_001371221, exon 13 of 13)",11002,ENSG00000185215,TNFAIP2,TNF alpha induced protein 2,protein-coding,3' UTR,0.031667,0.519135,False,False,False,False,False,False,False,High
15149,chr14,103139169,103139191,"pt226_hi,pt87_hi","pt226_hi_9060,pt87_hi_12568",+,2,2,2,0,15149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.566049752261277,4.0,0.0,0.0,4.07541267602984,2.0,0.0,0.0,Intergenic,12874,ENSG00000185215,TNFAIP2,TNF alpha induced protein 2,protein-coding,Intergeni,0.07,0.708819,False,False,False,False,False,False,False,High
15203,chr14,104770125,104770133,"pt226_hi,pt87_hi","pt226_hi_9310,pt87_hi_12919",-,2,2,2,0,15203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.517121224824568,5.0,0.0,0.0,18.057235962487407,2.0,0.0,0.0,"3' UTR (NM_005163, exon 14 of 14)",16982,ENSG00000184990,SIVA1,SIVA1 apoptosis inducing factor,protein-coding,3' UTR,0.041667,0.575707,False,False,False,True,False,False,False,High
15217,chr14,105069868,105069873,"pt226_hi,pt87_hi","pt226_hi_9313,pt87_hi_12922",-,2,2,2,0,15217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.506666977785588,4.0,0.0,0.0,6.20321549151646,2.0,0.0,0.0,Intergenic,-4441,ENSG00000183484,GPR132,G protein-coupled receptor 132,protein-coding,Intergeni,0.016667,0.550749,False,False,False,False,False,False,False,High
15219,chr14,105075027,105075036,"pt212_hi,pt214_hi","pt212_hi_12310,pt214_hi_13954",-,2,2,2,0,15219,0.0,0.0,3.0212340098635897,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.586210991708352,2.0,Intergenic,-9602,ENSG00000183484,GPR132,G protein-coupled receptor 132,protein-coding,Intergeni,0.026667,0.690516,False,False,False,False,False,False,False,High
15220,chr14,105075417,105075438,"pt214_hi,pt226_hi","pt214_hi_13955,pt226_hi_9314",-,2,2,2,0,15220,0.0,0.0,13.5018271859993,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.349529678908727,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Intergenic,-9998,ENSG00000183484,GPR132,G protein-coupled receptor 132,protein-coding,Intergeni,0.021667,0.62396,False,False,False,False,False,False,False,High
15278,chr15,24974412,24974427,"pt214_hi,pt87_hi","pt214_hi_13964,pt87_hi_12929",+,2,2,2,0,15278,0.0,0.0,2.535342667964279,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.665632720776817,2.0,0.0,0.0,"non-coding (NR_146177, exon 7 of 148)",-7574,,PWARSN,"Prader Willi/Angelman region RNA, SNRPN neighbor",ncRNA,non-coding,0.006667,0.384359,False,False,False,False,False,False,False,High
15294,chr15,26866702,26866719,"pt212_hi,pt221_hi,pt87_hi","pt212_hi_12319,pt221_hi_8623,pt87_hi_12932",+,3,3,3,0,15294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.471954516562162,3.0,0.0,0.0,0.0,0.0,9.400027125613674,3.0,7.168567193760209,2.0,promoter-TSS (NM_000810),-351,ENSG00000186297,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit,protein-coding,promoter-TSS,0.046667,0.565724,True,True,False,False,True,False,False,High
15296,chr15,26867190,26867205,"pt212_hi,pt214_hi,pt221_hi,pt87_hi","pt212_hi_12322,pt214_hi_13966,pt221_hi_8625,pt87_hi_12933",+,4,4,4,0,15296,0.0,0.0,4.231976971227834,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3973920124500365,5.0,0.0,0.0,0.0,0.0,3.6300916901231,2.0,8.9237718220272,2.0,promoter-TSS (NM_001165037),72,ENSG00000186297,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit,protein-coding,promoter-TSS,0.1,0.715474,True,True,False,False,True,False,False,High
15300,chr15,26880585,26880617,"pt212_hi,pt221_hi,pt87_hi","pt212_hi_12325,pt212_hi_12326,pt212_hi_12327,pt221_hi_8626,pt87_hi_12934",+,3,3,3,0,15300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78558244182128,5.0,0.0,0.0,0.0,0.0,4.09766578998014,2.0,35.711736057726995,9.0,"intron (NM_001165037, intron 3 of 10)",13475,ENSG00000186297,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit,protein-coding,intron,0.01,0.452579,True,True,False,False,True,False,False,High
15303,chr15,26948605,26948676,"pt212_hi,pt214_hi,pt221_hi,pt226_hi,pt87_hi","pt212_hi_12328,pt212_hi_12329,pt214_hi_13969,pt221_hi_8627,pt226_hi_9319,pt87_hi_12935,pt87_hi_12936,pt87_hi_12937",+,5,5,5,0,15303,0.0,0.0,7.728312014857489,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.451666940845636,10.0,2.2994855804489847,4.0,0.0,0.0,15.893674902873911,7.0,14.468166203761449,4.0,"3' UTR (NM_000810, exon 11 of 11)",-22540,ENSG00000182256,GABRG3,gamma-aminobutyric acid type A receptor gamma3 subunit,protein-coding,3' UTR,0.02,0.36772,True,True,False,False,True,False,False,High
15343,chr15,34437452,34437463,"pt214_hi,pt87_hi","pt214_hi_14241,pt87_hi_13202",-,2,2,2,0,15343,0.0,0.0,2.745274019946499,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.266427800775329,3.0,0.0,0.0,promoter-TSS (NM_001368072),8,ENSG00000175265,GOLGA8A,golgin A8 family member A,protein-coding,promoter-TSS,0.195,0.753744,False,False,False,False,False,False,False,High
15432,chr15,39934124,39934140,"pt212_hi,pt214_hi","pt212_hi_12343,pt214_hi_13991",+,2,2,2,0,15432,0.0,0.0,2.9165503364158094,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.781800912869454,3.0,promoter-TSS (NM_001013703),17,ENSG00000128829,EIF2AK4,eukaryotic translation initiation factor 2 alpha kinase 4,protein-coding,promoter-TSS,0.081667,0.642263,False,False,False,True,False,False,False,High
15483,chr15,40872525,40872534,"pt214_hi,pt226_hi","pt214_hi_14264,pt226_hi_9535",-,2,2,2,0,15483,0.0,0.0,12.80414941766632,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.459117244589265,6.0,0.0,0.0,0.0,0.0,0.0,0.0,"3' UTR (NM_133639, exon 3 of 3)",1704,ENSG00000104140,RHOV,ras homolog family member V,protein-coding,3' UTR,0.016667,0.580699,False,False,False,False,False,False,False,High
15485,chr15,40872623,40872631,"pt214_hi,pt87_hi","pt214_hi_14267,pt87_hi_13237",-,2,2,2,0,15485,0.0,0.0,3.20077389697978,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999113878176659,2.0,0.0,0.0,"3' UTR (NM_133639, exon 3 of 3)",1607,ENSG00000104140,RHOV,ras homolog family member V,protein-coding,3' UTR,0.021667,0.552413,False,False,False,False,False,False,False,High
15487,chr15,40872929,40872938,"pt214_hi,pt226_hi","pt214_hi_14268,pt226_hi_9536",-,2,2,2,0,15487,0.0,0.0,4.603427444452542,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.587315836732236,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"3' UTR (NM_133639, exon 3 of 3)",1300,ENSG00000104140,RHOV,ras homolog family member V,protein-coding,3' UTR,0.035,0.585691,False,False,False,False,False,False,False,High
15523,chr15,41810545,41810565,"pt226_hi,pt87_hi","pt226_hi_9347,pt87_hi_12978",+,2,2,2,0,15523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.367617499484387,6.0,0.0,0.0,3.175614173482983,2.0,0.0,0.0,"intron (NM_001128608, intron 3 of 31)",-17530,ENSG00000168970,JMJD7-PLA2G4B,JMJD7-PLA2G4B readthrough,protein-coding,intron,0.015,0.547421,False,False,False,False,False,False,False,High
15527,chr15,41972603,41972611,"pt212_hi,pt214_hi,pt221_hi","pt212_hi_12632,pt214_hi_14276,pt221_hi_8805",-,3,3,3,0,15527,0.0,0.0,12.518007031782227,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.426821747929463,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3482555520803325,2.0,promoter-TSS (NR_120334),-50,ENSG00000103966,EHD4,EH domain containing 4,protein-coding,promoter-TSS,0.066667,0.610649,False,False,False,False,False,False,False,High
15592,chr15,43746269,43746297,"pt214_hi,pt226_hi","pt214_hi_14289,pt226_hi_9550",-,2,2,2,0,15592,0.0,0.0,5.973864538404415,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.732549793578279,2.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_005313),15,ENSG00000205771,CATSPER2P1,cation channel sperm associated 2 pseudogene 1,pseudo,promoter-TSS,0.13,0.738769,False,False,False,False,False,False,False,High
15596,chr15,43765478,43765498,"pt212_hi,pt214_hi","pt212_hi_12385,pt214_hi_14026",+,2,2,2,0,15596,0.0,0.0,2.568299861202246,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.487992021147672,3.0,"exon (NM_005313, exon 6 of 13)",11478,ENSG00000128886,ELL3,elongation factor for RNA polymerase II 3,protein-coding,exon,0.005,0.412646,False,False,False,False,False,False,False,High
15598,chr15,43769536,43769577,"pt214_hi,pt226_hi","pt214_hi_14027,pt226_hi_9356",+,2,2,2,0,15598,0.0,0.0,5.822677327796288,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4945840779024246,5.0,0.0,0.0,0.0,0.0,0.0,0.0,"exon (NM_005313, exon 10 of 13)",7409,ENSG00000128886,ELL3,elongation factor for RNA polymerase II 3,protein-coding,exon,0.006667,0.391015,False,False,False,False,False,False,False,High
15600,chr15,43770524,43770528,"pt212_hi,pt87_hi","pt212_hi_12387,pt87_hi_12993",+,2,2,2,0,15600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1975120110491675,3.0,2.324619449448424,2.0,"exon (NM_005313, exon 12 of 13)",6440,ENSG00000128886,ELL3,elongation factor for RNA polymerase II 3,protein-coding,exon,0.006667,0.387687,False,False,False,False,False,False,False,High
15602,chr15,43771118,43771128,"pt214_hi,pt226_hi,pt87_hi","pt214_hi_14029,pt226_hi_9359,pt87_hi_12995",+,3,3,3,0,15602,0.0,0.0,6.20842761206878,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.455487764353923,3.0,0.0,0.0,10.297458672563348,3.0,0.0,0.0,"exon (NM_005313, exon 13 of 13)",5843,ENSG00000128886,ELL3,elongation factor for RNA polymerase II 3,protein-coding,exon,0.02,0.439268,False,False,False,False,False,False,False,High
15640,chr15,44711579,44711610,"pt214_hi,pt226_hi","pt214_hi_14042,pt226_hi_9371",+,2,2,2,0,15640,0.0,0.0,4.57597661174274,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.127232889309385,5.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_004048),78,ENSG00000166710,B2M,beta-2-microglobulin,protein-coding,promoter-TSS,0.056667,0.572379,False,False,False,False,False,False,False,High
15644,chr15,44715583,44715607,"pt212_hi,pt214_hi","pt212_hi_12407,pt214_hi_14044",+,2,2,2,0,15644,0.0,0.0,8.45979097776988,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5522566603760524,2.0,"exon (NM_004048, exon 2 of 4)",-2249,,MIR10393,microRNA 10393,ncRNA,exon,0.011667,0.420965,False,False,False,False,False,False,False,High
15657,chr15,45023225,45023237,"pt212_hi,pt214_hi","pt212_hi_12415,pt214_hi_14054",+,2,2,2,0,15657,0.0,0.0,4.33258030478112,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.946608733303392,2.0,promoter-TSS (NR_034039),36,ENSG00000140263,SORD,sorbitol dehydrogenase,protein-coding,promoter-TSS,0.073333,0.645591,False,False,False,False,False,False,False,High
15660,chr15,45135159,45135169,"pt212_hi,pt226_hi","pt212_hi_12417,pt226_hi_9378",+,2,2,2,0,15660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44336056843135,2.0,0.0,0.0,0.0,0.0,5.35562178007607,2.0,"exon (NM_017434, exon 6 of 35)",5170,ENSG00000137857,DUOX1,dual oxidase 1,protein-coding,exon,0.035,0.597338,False,True,False,False,False,False,False,High
